"Column1","Site","Period","BoneID","IsotopeSampleNumber","Species","Side","dP2","dP3","dP4","P2","P3","P4","M1","M2","M3","Zeder_Group","Payne.Group"
138,"Benkovac-Barice","MN","BB.A1..SJ49.209","","OA","R",NA,NA,NA,NA,NA,20,18,17,15,"VII","F"
139,"Benkovac-Barice","MN","BB.A2..SJ27.208","","OA","R",NA,NA,NA,NA,NA,20,NA,NA,NA,"VII, VIII, IX","G"
77,"Benkovac-Barice","MN","BB.A2..SJ6.146","","CA","L",7,9,12,NA,NA,NA,NA,NA,NA,"I","A"
78,"Benkovac-Barice","MN","BB.A2..SJ6.147","","OA","L",NA,NA,NA,NA,NA,20,NA,NA,NA,"VII, VIII, IX","G"
79,"Benkovac-Barice","MN","BB.A2..SJ6.148","","CA","R",NA,NA,NA,NA,NA,17,17,NA,NA,"VI","E"
80,"Benkovac-Barice","MN","BB.A2..SJ6.149","","CA","L",NA,NA,NA,NA,NA,19,25,NA,NA,"IX","G"
211,"Benkovac-Barice","MN","BB.A2..SJ6.327","","CA","L",NA,NA,NA,NA,NA,NA,11,7,NA,"IV","D"
82,"Benkovac-Barice","MN","BB.A3..SJ21.151","","OA","L",NA,NA,1,NA,NA,NA,NA,NA,NA,"",""
136,"Benkovac-Barice","MN","BB.B1..SJ12.206","","OC","R",NA,NA,NA,NA,NA,NA,NA,17,15,"VI","E"
137,"Benkovac-Barice","MN","BB.B1..SJ12.207","","CA","R",NA,NA,NA,NA,NA,20,20,17,NA,"VIII","G"
64,"Benkovac-Barice","MN","BB.B1..SJ49.133","","OC","L",NA,NA,17,NA,1,NA,14,NA,NA,"IV","D"
65,"Benkovac-Barice","MN","BB.B1..SJ49.134","","OA","L",NA,NA,NA,NA,NA,23,20,17,17,"IX","G"
66,"Benkovac-Barice","MN","BB.B1..SJ49.135","BB135","OA","L",NA,NA,NA,NA,NA,NA,17,17,NA,"VI, VII","E, F"
67,"Benkovac-Barice","MN","BB.B1..SJ49.136","BB136","OA","R",NA,NA,NA,NA,NA,14,17,16,NA,"V","D"
68,"Benkovac-Barice","MN","BB.B1..SJ49.137","","OC","R",NA,NA,NA,NA,NA,NA,NA,NA,9,"V, VI","D, E"
85,"Benkovac-Barice","MN","BB.B1..SJ49.154","BB154","OC","L",NA,NA,NA,NA,NA,NA,17,17,NA,"VI, VII","E, F"
73,"Benkovac-Barice","MN","BB.B1..SJ6.142","","OA","L",NA,13,15,NA,NA,NA,NA,NA,NA,"II","B"
74,"Benkovac-Barice","MN","BB.B1..SJ6.143","","OC","R",16,18,NA,NA,NA,NA,NA,NA,NA,"IV","D"
75,"Benkovac-Barice","MN","BB.B1..SJ6.144","","OA","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
