"Site","Period","BoneID","IsotopeSampleNumber","Species","Side","Zeder_Group","Payne.Group","Genus"
"1","Benkovac-Barice","MN","BB.A1..SJ49.209","","OA","R","VII","F","OC"
"2","Benkovac-Barice","MN","BB.A2..SJ27.208","","OA","R","VII, VIII, IX","G","OC"
"3","Benkovac-Barice","MN","BB.A2..SJ6.146","","CA","L","I","A","OC"
"4","Benkovac-Barice","MN","BB.A2..SJ6.147","","OA","L","VII, VIII, IX","G","OC"
"5","Benkovac-Barice","MN","BB.A2..SJ6.148","","CA","R","VI","E","OC"
"6","Benkovac-Barice","MN","BB.A2..SJ6.149","","CA","L","IX","G","OC"
"7","Benkovac-Barice","MN","BB.A2..SJ6.327","","CA","L","IV","D","OC"
"8","Benkovac-Barice","MN","BB.A3..SJ21.151","","OA","L","","","OC"
"9","Benkovac-Barice","MN","BB.B1..SJ12.206","","OC","R","VI","E","OC"
"10","Benkovac-Barice","MN","BB.B1..SJ12.207","","CA","R","VIII","G","OC"
"11","Benkovac-Barice","MN","BB.B1..SJ49.133","","OC","L","IV","D","OC"
"12","Benkovac-Barice","MN","BB.B1..SJ49.134","","OA","L","IX","G","OC"
"13","Benkovac-Barice","MN","BB.B1..SJ49.135","BB135","OA","L","VI, VII","E, F","OC"
"14","Benkovac-Barice","MN","BB.B1..SJ49.136","BB136","OA","R","V","D","OC"
"15","Benkovac-Barice","MN","BB.B1..SJ49.137","","OC","R","V, VI","D, E","OC"
"16","Benkovac-Barice","MN","BB.B1..SJ49.154","BB154","OC","L","VI, VII","E, F","OC"
"17","Benkovac-Barice","MN","BB.B1..SJ6.142","","OA","L","II","B","OC"
"18","Benkovac-Barice","MN","BB.B1..SJ6.143","","OC","R","IV","D","OC"
"19","Benkovac-Barice","MN","BB.B1..SJ6.144","","OA","L","","","OC"
"20","Benkovac-Barice","MN","BB.B1..SJ6.145","","OC","L","II","B","OC"
"21","Benkovac-Barice","MN","BB.B1..SJ6.181","","OC","R","","","OC"
"22","Benkovac-Barice","MN","BB.B1..SJ6.182","BB182","CA","L","VII","F","OC"
"23","Benkovac-Barice","MN","BB.B1..SJ6.183","","OC","L","VII, VIII, IX","F, G","OC"
"24","Benkovac-Barice","MN","BB.B1..SJ6.184","","OC","L","IX","G","OC"
"25","Benkovac-Barice","MN","BB.B1..SJ6.185","","OC","L","VI, VII","E, F","OC"
"26","Benkovac-Barice","MN","BB.B1..SJ6.186","","CA","L","IX","G","OC"
"27","Benkovac-Barice","MN","BB.B1..SJ6.187","","OC","R","V","D","OC"
"28","Benkovac-Barice","MN","BB.B1..SJ6.188","","OC","R","VI, VII, VIII","E, F, G","OC"
"29","Benkovac-Barice","MN","BB.B2..SJ26.190","","OC","L","VI, VII, VIII","E, F, G","OC"
"30","Benkovac-Barice","MN","BB.B2..SJ26.191","","CA","R","VI","E","OC"
"31","Benkovac-Barice","MN","BB.B2..SJ26.192","","OA","R","VIII","G","OC"
"32","Benkovac-Barice","MN","BB.B2..SJ49.138","","OC","L","VII","F","OC"
"33","Benkovac-Barice","MN","BB.B2..SJ49.139","","OC","R","VII, VIII, IX","F, G","OC"
"34","Benkovac-Barice","MN","BB.B2..SJ49.160","","OC","L","VI, VII, VIII, IX","E, F, G","OC"
"35","Benkovac-Barice","MN","BB.B2..SJ49.161","","OC","L","V, VI","D, E","OC"
"36","Benkovac-Barice","MN","BB.B2..SJ49.162","","OC","R","II","B","OC"
"37","Benkovac-Barice","MN","BB.B2..SJ49.163","","CA","R","IV","D","OC"
"38","Benkovac-Barice","MN","BB.B2..SJ49.164","","OC","L","","","OC"
"39","Benkovac-Barice","MN","BB.B2..SJ49.165","","CA","L","X","H","OC"
"40","Benkovac-Barice","MN","BB.B2..SJ49.166","","OC","R","IV","D","OC"
"41","Benkovac-Barice","MN","BB.B2..SJ6.153","","OA","R","II","B","OC"
"42","Benkovac-Barice","MN","BB.B3..SJ13.170","","OA","L","VIII","G","OC"
"43","Benkovac-Barice","MN","BB.B3..SJ49.167","","CA","R","II","B","OC"
"44","Benkovac-Barice","MN","BB.B3..SJ49.168","BB168","OA","R","IV","D","OC"
"45","Benkovac-Barice","MN","BB.B3..SJ49.169","","CA","L","II","B","OC"
"46","Benkovac-Barice","MN","BB.B3..SJ6.152","","OA","L","IV","D","OC"
"47","Benkovac-Barice","MN","BB.C1..SJ13.155","","OC","R","IV","D","OC"
"48","Benkovac-Barice","MN","BB.C1..SJ13.156","","OC","R","III, IV","C, D","OC"
