Taxon,LitterSize,Reference
Goats,1.21,Wilson 1989 Table 2
Goats,1.08,Wilson 1989 Table 2
Goats,1.23,Wilson 1989 Table 2
Goats,1.15,Wilson 1989 Table 2
Goats,1.18,Wilson 1989 Table 2
Goats,1.62,Wilson 1989 Table 2
Goats,1.52,Wilson 1989 Table 2
Goats,1.46,Wilson 1989 Table 2
Goats,1.75,Wilson 1989 Table 2
Sheep,1.02,Wilson 1989 Table 2
Sheep,1.06,Wilson 1989 Table 2
Sheep,1.23,Wilson 1989 Table 2
Sheep,1.18,Wilson 1989 Table 2
Sheep,1.15,Wilson 1989 Table 2
Sheep,1.08,Wilson 1989 Table 2
Sheep,1.05,Wilson 1989 Table 2
Sheep,1.04,Wilson 1989 Table 2
Sheep,1.03,Wilson 1989 Table 2
Sheep,1.36,Wilson 1989 Table 2
Sheep,1.26,Wilson 1989 Table 2
Sheep,1.43,Wilson 1989 Table 2
Sheep,1.12,Wilson 1989 Table 2
Sheep,1.14,Wilson 1989 Table 2
Sheep,1.17,Wilson 1989 Table 2
Goats,1.7,Mack Sumberg and Okali 1984
Goats,1.5,Mack Sumberg and Okali 1984
Goats,1.3,Mack Sumberg and Okali 1984
Goats,2.09,Erasmus et al 1984
Goats,1.67,Galina et al 1995
Goats,1.45,Mourad 1993
Goats,1.78,Mourad 1993
Goats,1.69,Silva et al 1998
